DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,RaceName,Country,Round,positions_gained,is_winner,podium,dnf,driver_team_combo,Driver,avg_lap_time,fastest_lap_time,lap_time_std,num_laps,num_stints,most_used_compound,avg_tyre_life,num_personal_bests,num_pitstops,best_sector1,best_sector2,best_sector3,Year
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,1.0,1,1.0,,,,0 days 01:37:16.427000,Finished,25.0,Hungarian Grand Prix,Hungary,12,0.0,1,1,0,HAM_Mercedes,HAM,83.377528,81.107,3.40494,70.0,2.0,SOFT,19.279411764705884,11,1.0,28.94,29.1,22.841,2018
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,2.0,2,4.0,,,,0 days 00:00:17.123000,Finished,18.0,Hungarian Grand Prix,Hungary,12,2.0,0,1,0,VET_Ferrari,VET,83.622142,80.056,3.374581,70.0,2.0,SOFT,17.92753623188406,19,1.0,28.688,28.684,22.66,2018
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,3.0,3,3.0,,,,0 days 00:00:20.101000,Finished,15.0,Hungarian Grand Prix,Hungary,12,0.0,0,1,0,RAI_Ferrari,RAI,83.664685,80.292,4.307112,70.0,3.0,SOFT,13.318840579710145,12,2.0,28.712,28.8,22.602,2018
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,4.0,4,12.0,,,,0 days 00:00:46.419000,Finished,12.0,Hungarian Grand Prix,Hungary,12,8.0,0,0,0,RIC_Red Bull Racing,RIC,84.040657,80.012,4.487753,70.0,2.0,SOFT,18.797101449275363,10,1.0,28.815,28.574,22.507,2018
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,5.0,5,2.0,,,,0 days 00:00:50,Finished,10.0,Hungarian Grand Prix,Hungary,12,-3.0,0,0,0,BOT_Mercedes,BOT,84.091814,81.736,3.229556,70.0,2.0,SOFT,23.84057971014493,7,1.0,29.136,29.333,23.074,2018
10,P GASLY,GAS,gasly,Toro Rosso,469BFF,toro_rosso,Pierre,Gasly,Pierre Gasly,,,6.0,6,6.0,,,,0 days 00:01:13.273000,Finished,8.0,Hungarian Grand Prix,Hungary,12,0.0,0,0,0,GAS_Toro Rosso,GAS,84.424285,81.685,3.960864,70.0,2.0,SOFT,17.92753623188406,21,1.0,29.27,29.334,23.037,2018
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,7.0,7,9.0,,,,,+1 Lap,6.0,Hungarian Grand Prix,Hungary,12,2.0,0,0,1,MAG_Haas F1 Team,MAG,84.657768,81.302,3.779716,69.0,2.0,SOFT,17.735294117647058,22,1.0,29.152,29.1,23.033,2018
14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,8.0,8,11.0,,,,,+1 Lap,4.0,Hungarian Grand Prix,Hungary,12,3.0,0,0,1,ALO_McLaren,ALO,85.190739,82.09,3.704832,69.0,2.0,SOFT,17.735294117647058,21,1.0,29.196,29.381,23.322,2018
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,9.0,9,5.0,,,,,+1 Lap,2.0,Hungarian Grand Prix,Hungary,12,-4.0,0,0,1,SAI_Renault,SAI,85.369913,82.774,3.574036,69.0,2.0,MEDIUM,18.970588235294116,16,1.0,29.282,29.874,23.439,2018
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,828282,haas,Romain,Grosjean,Romain Grosjean,,,10.0,10,10.0,,,,,+1 Lap,1.0,Hungarian Grand Prix,Hungary,12,0.0,0,0,1,GRO_Haas F1 Team,GRO,85.377463,82.606,3.789937,69.0,2.0,SOFT,18.029411764705884,15,1.0,29.306,29.803,23.361,2018
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,11.0,11,8.0,,,,,+1 Lap,0.0,Hungarian Grand Prix,Hungary,12,-3.0,0,0,1,HAR_Toro Rosso,HAR,85.397101,82.612,3.661137,69.0,2.0,MEDIUM,19.279411764705884,19,1.0,29.477,29.745,23.235,2018
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,12.0,12,13.0,,,,,+1 Lap,0.0,Hungarian Grand Prix,Hungary,12,1.0,0,0,1,HUL_Renault,HUL,85.487275,81.261,4.254472,69.0,3.0,MEDIUM,12.073529411764708,16,2.0,28.995,28.97,22.987,2018
31,E OCON,OCO,ocon,Force India,F596C8,force_india,Esteban,Ocon,Esteban Ocon,,,13.0,13,18.0,,,,,+1 Lap,0.0,Hungarian Grand Prix,Hungary,12,5.0,0,0,1,OCO_Force India,OCO,85.612028,82.876,4.277439,69.0,2.0,SOFT,17.735294117647058,20,1.0,29.223,30.111,23.489,2018
11,S PEREZ,PER,perez,Force India,F596C8,force_india,Sergio,Perez,Sergio Perez,,,14.0,14,19.0,,,,,+1 Lap,0.0,Hungarian Grand Prix,Hungary,12,5.0,0,0,1,PER_Force India,PER,85.752362,83.263,4.265214,69.0,2.0,SOFT,19.985294117647054,15,1.0,29.322,30.04,23.624,2018
9,M ERICSSON,ERI,ericsson,Sauber,9B0000,sauber,Marcus,Ericsson,Marcus Ericsson,,,15.0,15,14.0,,,,,+2 Laps,0.0,Hungarian Grand Prix,Hungary,12,-1.0,0,0,1,ERI_Sauber,ERI,86.437132,83.671,3.920802,68.0,2.0,MEDIUM,29.37313432835821,7,1.0,29.624,30.039,23.795,2018
35,S SIROTKIN,SIR,sirotkin,Williams,FFFFFF,williams,Sergey,Sirotkin,Sergey Sirotkin,,,16.0,16,20.0,,,,,+2 Laps,0.0,Hungarian Grand Prix,Hungary,12,4.0,0,0,1,SIR_Williams,SIR,86.578132,83.708,3.678125,68.0,2.0,MEDIUM,17.432835820895523,17,1.0,29.699,30.169,23.836,2018
18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,17.0,17,15.0,,,,,+2 Laps,0.0,Hungarian Grand Prix,Hungary,12,-2.0,0,0,1,STR_Williams,STR,86.588558,82.66,3.806239,68.0,2.0,MEDIUM,19.58208955223881,17,1.0,29.275,29.766,23.558,2018
2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,18.0,R,16.0,,,,,Gearbox,0.0,Hungarian Grand Prix,Hungary,12,-2.0,0,0,1,VAN_McLaren,VAN,85.590061,83.077,3.753358,49.0,2.0,SOFT,17.1875,25,1.0,29.681,29.805,23.349,2018
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,19.0,R,7.0,,,,,Power loss,0.0,Hungarian Grand Prix,Hungary,12,-12.0,0,0,1,VER_Red Bull Racing,VER,85.6118,83.985,2.916305,5.0,1.0,ULTRASOFT,2.5,4,0.0,29.901,30.364,23.642,2018
16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,20.0,R,17.0,,,,,Suspension,0.0,Hungarian Grand Prix,Hungary,12,-3.0,0,0,1,LEC_Sauber,,,,,,,,,,,,,,2018
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,1.0,1,3.0,,,,0 days 01:29:33.283000,Finished,25.0,Australian Grand Prix,Australia,1,2.0,1,1,0,VET_Ferrari,VET,92.64281,86.469,13.366048,58.0,2.0,SOFT,16.280701754385966,20,1.0,28.891,23.198,34.334,2018
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,2.0,2,1.0,,,,0 days 00:00:05.036000,Finished,18.0,Australian Grand Prix,Australia,1,-1.0,0,1,0,HAM_Mercedes,HAM,92.729637,86.444,13.008674,58.0,2.0,SOFT,17.571428571428573,18,1.0,28.76,23.092,34.247,2018
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,3.0,3,2.0,,,,0 days 00:00:06.309000,Finished,15.0,Australian Grand Prix,Australia,1,-1.0,0,1,0,RAI_Ferrari,RAI,92.751586,86.373,12.714169,58.0,2.0,SOFT,17.964912280701753,19,1.0,28.698,23.101,34.347,2018
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,4.0,4,8.0,,,,0 days 00:00:07.069000,Finished,12.0,Australian Grand Prix,Australia,1,4.0,0,0,0,RIC_Red Bull Racing,RIC,92.764689,85.945,12.157699,58.0,2.0,SOFT,16.280701754385966,19,1.0,28.651,23.044,34.089,2018
14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,5.0,5,10.0,,,,0 days 00:00:27.886000,Finished,10.0,Australian Grand Prix,Australia,1,5.0,0,0,0,ALO_McLaren,ALO,93.123603,86.978,11.767294,58.0,2.0,SOFT,14.964912280701755,19,1.0,28.976,23.406,34.454,2018
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,6.0,6,4.0,,,,0 days 00:00:28.945000,Finished,8.0,Australian Grand Prix,Australia,1,-2.0,0,0,0,VER_Red Bull Racing,VER,93.141862,86.88,10.65021,58.0,2.0,SOFT,17.07017543859649,15,1.0,28.941,23.251,34.464,2018
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,7.0,7,7.0,,,,0 days 00:00:32.671000,Finished,6.0,Australian Grand Prix,Australia,1,0.0,0,0,0,HUL_Renault,HUL,93.206103,87.081,10.425485,58.0,2.0,SOFT,16.49122807017544,23,1.0,28.989,23.404,34.549,2018
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,8.0,8,15.0,,,,0 days 00:00:34.339000,Finished,4.0,Australian Grand Prix,Australia,1,7.0,0,0,0,BOT_Mercedes,BOT,93.234862,87.019,10.346829,58.0,2.0,SUPERSOFT,16.36842105263158,18,1.0,28.893,23.278,34.53,2018
2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,9.0,9,11.0,,,,0 days 00:00:34.921000,Finished,2.0,Australian Grand Prix,Australia,1,2.0,0,0,0,VAN_McLaren,VAN,93.244896,86.958,10.495303,58.0,2.0,SUPERSOFT,15.105263157894736,22,1.0,28.902,23.455,34.493,2018
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,10.0,10,9.0,,,,0 days 00:00:45.722000,Finished,1.0,Australian Grand Prix,Australia,1,-1.0,0,0,0,SAI_Renault,SAI,93.43112,87.944,10.178359,58.0,2.0,SOFT,16.842105263157894,15,1.0,29.315,23.61,34.811,2018
11,S PEREZ,PER,perez,Force India,F596C8,force_india,Sergio,Perez,Sergio Perez,,,11.0,11,12.0,,,,0 days 00:00:46.817000,Finished,0.0,Australian Grand Prix,Australia,1,1.0,0,0,0,PER_Force India,PER,93.45,87.633,9.691896,58.0,2.0,SOFT,15.280701754385966,19,1.0,29.174,23.557,34.877,2018
31,E OCON,OCO,ocon,Force India,F596C8,force_india,Esteban,Ocon,Esteban Ocon,,,12.0,12,14.0,,,,0 days 00:01:00.278000,Finished,0.0,Australian Grand Prix,Australia,1,2.0,0,0,0,OCO_Force India,OCO,93.682086,87.6,9.424183,58.0,2.0,SOFT,15.491228070175438,21,1.0,29.097,23.494,34.996,2018
