DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,RaceName,Country,Round,positions_gained,is_winner,podium,dnf,driver_team_combo
2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,9.0,9,11.0,,,,0 days 00:00:34.921000,Finished,2.0,Australian Grand Prix,Australia,1,2.0,0,0,0,VAN_McLaren
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,10.0,10,9.0,,,,0 days 00:00:45.722000,Finished,1.0,Australian Grand Prix,Australia,1,-1.0,0,0,0,SAI_Renault
11,S PEREZ,PER,perez,Force India,F596C8,force_india,Sergio,Perez,Sergio Perez,,,11.0,11,12.0,,,,0 days 00:00:46.817000,Finished,0.0,Australian Grand Prix,Australia,1,1.0,0,0,0,PER_Force India
31,E OCON,OCO,ocon,Force India,F596C8,force_india,Esteban,Ocon,Esteban Ocon,,,12.0,12,14.0,,,,0 days 00:01:00.278000,Finished,0.0,Australian Grand Prix,Australia,1,2.0,0,0,0,OCO_Force India
16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,13.0,13,18.0,,,,0 days 00:01:15.759000,Finished,0.0,Australian Grand Prix,Australia,1,5.0,0,0,0,LEC_Sauber
18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,14.0,14,13.0,,,,0 days 00:01:18.288000,Finished,0.0,Australian Grand Prix,Australia,1,-1.0,0,0,0,STR_Williams
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,15.0,15,16.0,,,,,+1 Lap,0.0,Australian Grand Prix,Australia,1,1.0,0,0,1,HAR_Toro Rosso
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,828282,haas,Romain,Grosjean,Romain Grosjean,,,16.0,R,6.0,,,,,Wheel,0.0,Australian Grand Prix,Australia,1,-10.0,0,0,1,GRO_Haas F1 Team
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,17.0,R,5.0,,,,,Wheel,0.0,Australian Grand Prix,Australia,1,-12.0,0,0,1,MAG_Haas F1 Team
10,P GASLY,GAS,gasly,Toro Rosso,469BFF,toro_rosso,Pierre,Gasly,Pierre Gasly,,,18.0,R,20.0,,,,,Engine,0.0,Australian Grand Prix,Australia,1,2.0,0,0,1,GAS_Toro Rosso
9,M ERICSSON,ERI,ericsson,Sauber,9B0000,sauber,Marcus,Ericsson,Marcus Ericsson,,,19.0,R,17.0,,,,,Steering,0.0,Australian Grand Prix,Australia,1,-2.0,0,0,1,ERI_Sauber
35,S SIROTKIN,SIR,sirotkin,Williams,FFFFFF,williams,Sergey,Sirotkin,Sergey Sirotkin,,,20.0,R,19.0,,,,,Brakes,0.0,Australian Grand Prix,Australia,1,-1.0,0,0,1,SIR_Williams
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,1.0,1,1.0,,,,0 days 01:27:09.066000,Finished,25.0,Brazilian Grand Prix,Brazil,20,0.0,1,1,0,HAM_Mercedes
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,2.0,2,5.0,,,,0 days 00:00:01.469000,Finished,18.0,Brazilian Grand Prix,Brazil,20,3.0,0,1,0,VER_Red Bull Racing
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,3.0,3,4.0,,,,0 days 00:00:04.764000,Finished,15.0,Brazilian Grand Prix,Brazil,20,1.0,0,1,0,RAI_Ferrari
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,4.0,4,11.0,,,,0 days 00:00:05.193000,Finished,12.0,Brazilian Grand Prix,Brazil,20,7.0,0,0,0,RIC_Red Bull Racing
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,5.0,5,3.0,,,,0 days 00:00:22.943000,Finished,10.0,Brazilian Grand Prix,Brazil,20,-2.0,0,0,0,BOT_Mercedes
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,6.0,6,2.0,,,,0 days 00:00:26.997000,Finished,8.0,Brazilian Grand Prix,Brazil,20,-4.0,0,0,0,VET_Ferrari
16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,7.0,7,7.0,,,,0 days 00:00:44.199000,Finished,6.0,Brazilian Grand Prix,Brazil,20,0.0,0,0,0,LEC_Sauber
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,828282,haas,Romain,Grosjean,Romain Grosjean,,,8.0,8,8.0,,,,0 days 00:00:51.230000,Finished,4.0,Brazilian Grand Prix,Brazil,20,0.0,0,0,0,GRO_Haas F1 Team
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,9.0,9,10.0,,,,0 days 00:00:52.857000,Finished,2.0,Brazilian Grand Prix,Brazil,20,1.0,0,0,0,MAG_Haas F1 Team
11,S PEREZ,PER,perez,Racing Point,f596c8,force_india,Sergio,Perez,Sergio Perez,,,10.0,10,12.0,,,,,+1 Lap,1.0,Brazilian Grand Prix,Brazil,20,2.0,0,0,1,PER_Racing Point
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,11.0,11,16.0,,,,,+1 Lap,0.0,Brazilian Grand Prix,Brazil,20,5.0,0,0,1,HAR_Toro Rosso
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,12.0,12,15.0,,,,,+1 Lap,0.0,Brazilian Grand Prix,Brazil,20,3.0,0,0,1,SAI_Renault
10,P GASLY,GAS,gasly,Toro Rosso,469BFF,toro_rosso,Pierre,Gasly,Pierre Gasly,,,13.0,13,9.0,,,,,+1 Lap,0.0,Brazilian Grand Prix,Brazil,20,-4.0,0,0,1,GAS_Toro Rosso
2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,14.0,14,20.0,,,,,+1 Lap,0.0,Brazilian Grand Prix,Brazil,20,6.0,0,0,1,VAN_McLaren
31,E OCON,OCO,ocon,Racing Point,f596c8,force_india,Esteban,Ocon,Esteban Ocon,,,15.0,15,18.0,,,,,+1 Lap,0.0,Brazilian Grand Prix,Brazil,20,3.0,0,0,1,OCO_Racing Point
35,S SIROTKIN,SIR,sirotkin,Williams,FFFFFF,williams,Sergey,Sirotkin,Sergey Sirotkin,,,16.0,16,14.0,,,,,+2 Laps,0.0,Brazilian Grand Prix,Brazil,20,-2.0,0,0,1,SIR_Williams
14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,17.0,17,17.0,,,,,+2 Laps,0.0,Brazilian Grand Prix,Brazil,20,0.0,0,0,1,ALO_McLaren
18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,18.0,18,19.0,,,,,+2 Laps,0.0,Brazilian Grand Prix,Brazil,20,1.0,0,0,1,STR_Williams
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,19.0,R,13.0,,,,,Overheating,0.0,Brazilian Grand Prix,Brazil,20,-6.0,0,0,1,HUL_Renault
9,M ERICSSON,ERI,ericsson,Sauber,9B0000,sauber,Marcus,Ericsson,Marcus Ericsson,,,20.0,R,6.0,,,,,Collision,0.0,Brazilian Grand Prix,Brazil,20,-14.0,0,0,1,ERI_Sauber
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,1.0,1,1.0,,,,0 days 01:42:54.807000,Finished,25.0,Monaco Grand Prix,Monaco,6,0.0,1,1,0,RIC_Red Bull Racing
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,2.0,2,2.0,,,,0 days 00:00:07.336000,Finished,18.0,Monaco Grand Prix,Monaco,6,0.0,0,1,0,VET_Ferrari
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,3.0,3,3.0,,,,0 days 00:00:17.013000,Finished,15.0,Monaco Grand Prix,Monaco,6,0.0,0,1,0,HAM_Mercedes
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,4.0,4,4.0,,,,0 days 00:00:18.127000,Finished,12.0,Monaco Grand Prix,Monaco,6,0.0,0,0,0,RAI_Ferrari
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,5.0,5,5.0,,,,0 days 00:00:18.822000,Finished,10.0,Monaco Grand Prix,Monaco,6,0.0,0,0,0,BOT_Mercedes
31,E OCON,OCO,ocon,Force India,F596C8,force_india,Esteban,Ocon,Esteban Ocon,,,6.0,6,6.0,,,,0 days 00:00:23.667000,Finished,8.0,Monaco Grand Prix,Monaco,6,0.0,0,0,0,OCO_Force India
10,P GASLY,GAS,gasly,Toro Rosso,469BFF,toro_rosso,Pierre,Gasly,Pierre Gasly,,,7.0,7,10.0,,,,0 days 00:00:24.331000,Finished,6.0,Monaco Grand Prix,Monaco,6,3.0,0,0,0,GAS_Toro Rosso
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,8.0,8,11.0,,,,0 days 00:00:24.839000,Finished,4.0,Monaco Grand Prix,Monaco,6,3.0,0,0,0,HUL_Renault
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,9.0,9,20.0,,,,0 days 00:00:25.317000,Finished,2.0,Monaco Grand Prix,Monaco,6,11.0,0,0,0,VER_Red Bull Racing
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,10.0,10,8.0,,,,0 days 00:01:09.013000,Finished,1.0,Monaco Grand Prix,Monaco,6,-2.0,0,0,0,SAI_Renault
9,M ERICSSON,ERI,ericsson,Sauber,9B0000,sauber,Marcus,Ericsson,Marcus Ericsson,,,11.0,11,16.0,,,,0 days 00:01:09.864000,Finished,0.0,Monaco Grand Prix,Monaco,6,5.0,0,0,0,ERI_Sauber
11,S PEREZ,PER,perez,Force India,F596C8,force_india,Sergio,Perez,Sergio Perez,,,12.0,12,9.0,,,,0 days 00:01:10.461000,Finished,0.0,Monaco Grand Prix,Monaco,6,-3.0,0,0,0,PER_Force India
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,13.0,13,19.0,,,,0 days 00:01:14.823000,Finished,0.0,Monaco Grand Prix,Monaco,6,6.0,0,0,0,MAG_Haas F1 Team
2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,14.0,14,12.0,,,,,+1 Lap,0.0,Monaco Grand Prix,Monaco,6,-2.0,0,0,1,VAN_McLaren
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,828282,haas,Romain,Grosjean,Romain Grosjean,,,15.0,15,18.0,,,,,+1 Lap,0.0,Monaco Grand Prix,Monaco,6,3.0,0,0,1,GRO_Haas F1 Team
35,S SIROTKIN,SIR,sirotkin,Williams,FFFFFF,williams,Sergey,Sirotkin,Sergey Sirotkin,,,16.0,16,13.0,,,,,+1 Lap,0.0,Monaco Grand Prix,Monaco,6,-3.0,0,0,1,SIR_Williams
18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,17.0,17,17.0,,,,,+2 Laps,0.0,Monaco Grand Prix,Monaco,6,0.0,0,0,1,STR_Williams
16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,18.0,R,14.0,,,,,Collision,0.0,Monaco Grand Prix,Monaco,6,-4.0,0,0,1,LEC_Sauber
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,19.0,R,15.0,,,,,Collision,0.0,Monaco Grand Prix,Monaco,6,-4.0,0,0,1,HAR_Toro Rosso
14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,20.0,R,7.0,,,,,Gearbox,0.0,Monaco Grand Prix,Monaco,6,-13.0,0,0,1,ALO_McLaren
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,1.0,1,2.0,,,,0 days 01:23:34.476000,Finished,25.0,Belgian Grand Prix,Belgium,13,1.0,1,1,0,VET_Ferrari
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,2.0,2,1.0,,,,0 days 00:00:11.061000,Finished,18.0,Belgian Grand Prix,Belgium,13,-1.0,0,1,0,HAM_Mercedes
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,3.0,3,7.0,,,,0 days 00:00:31.372000,Finished,15.0,Belgian Grand Prix,Belgium,13,4.0,0,1,0,VER_Red Bull Racing
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,4.0,4,19.0,,,,0 days 00:01:03.605000,Finished,12.0,Belgian Grand Prix,Belgium,13,15.0,0,0,0,BOT_Mercedes
11,S PEREZ,PER,perez,Racing Point,f596c8,force_india,Sergio,Perez,Sergio Perez,,,5.0,5,4.0,,,,0 days 00:01:11.023000,Finished,10.0,Belgian Grand Prix,Belgium,13,-1.0,0,0,0,PER_Racing Point
31,E OCON,OCO,ocon,Racing Point,f596c8,force_india,Esteban,Ocon,Esteban Ocon,,,6.0,6,3.0,,,,0 days 00:01:19.520000,Finished,8.0,Belgian Grand Prix,Belgium,13,-3.0,0,0,0,OCO_Racing Point
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,828282,haas,Romain,Grosjean,Romain Grosjean,,,7.0,7,5.0,,,,0 days 00:01:25.953000,Finished,6.0,Belgian Grand Prix,Belgium,13,-2.0,0,0,0,GRO_Haas F1 Team
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,8.0,8,9.0,,,,0 days 00:01:27.639000,Finished,4.0,Belgian Grand Prix,Belgium,13,1.0,0,0,0,MAG_Haas F1 Team
10,P GASLY,GAS,gasly,Toro Rosso,469BFF,toro_rosso,Pierre,Gasly,Pierre Gasly,,,9.0,9,10.0,,,,0 days 00:01:45.892000,Finished,2.0,Belgian Grand Prix,Belgium,13,1.0,0,0,0,GAS_Toro Rosso
9,M ERICSSON,ERI,ericsson,Sauber,9B0000,sauber,Marcus,Ericsson,Marcus Ericsson,,,10.0,10,13.0,,,,,+1 Lap,1.0,Belgian Grand Prix,Belgium,13,3.0,0,0,1,ERI_Sauber
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,11.0,11,14.0,,,,,+1 Lap,0.0,Belgian Grand Prix,Belgium,13,3.0,0,0,1,SAI_Renault
35,S SIROTKIN,SIR,sirotkin,Williams,FFFFFF,williams,Sergey,Sirotkin,Sergey Sirotkin,,,12.0,12,16.0,,,,,+1 Lap,0.0,Belgian Grand Prix,Belgium,13,4.0,0,0,1,SIR_Williams
18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,13.0,13,17.0,,,,,+1 Lap,0.0,Belgian Grand Prix,Belgium,13,4.0,0,0,1,STR_Williams
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,14.0,14,11.0,,,,,+1 Lap,0.0,Belgian Grand Prix,Belgium,13,-3.0,0,0,1,HAR_Toro Rosso
2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,15.0,15,18.0,,,,,+1 Lap,0.0,Belgian Grand Prix,Belgium,13,3.0,0,0,1,VAN_McLaren
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,16.0,R,8.0,,,,,Retired,0.0,Belgian Grand Prix,Belgium,13,-8.0,0,0,1,RIC_Red Bull Racing
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,17.0,R,6.0,,,,,Brakes,0.0,Belgian Grand Prix,Belgium,13,-11.0,0,0,1,RAI_Ferrari
16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,18.0,R,12.0,,,,,Accident,0.0,Belgian Grand Prix,Belgium,13,-6.0,0,0,1,LEC_Sauber
14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,19.0,R,15.0,,,,,Accident,0.0,Belgian Grand Prix,Belgium,13,-4.0,0,0,1,ALO_McLaren
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,20.0,R,20.0,,,,,Accident,0.0,Belgian Grand Prix,Belgium,13,0.0,0,0,1,HUL_Renault
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,1.0,1,1.0,,,,0 days 01:30:11.385000,Finished,25.0,French Grand Prix,France,8,0.0,1,1,0,HAM_Mercedes
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,2.0,2,4.0,,,,0 days 00:00:07.090000,Finished,18.0,French Grand Prix,France,8,2.0,0,1,0,VER_Red Bull Racing
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,3.0,3,6.0,,,,0 days 00:00:25.888000,Finished,15.0,French Grand Prix,France,8,3.0,0,1,0,RAI_Ferrari
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,4.0,4,5.0,,,,0 days 00:00:34.736000,Finished,12.0,French Grand Prix,France,8,1.0,0,0,0,RIC_Red Bull Racing
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,5.0,5,3.0,,,,0 days 00:01:01.935000,Finished,10.0,French Grand Prix,France,8,-2.0,0,0,0,VET_Ferrari
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,6.0,6,9.0,,,,0 days 00:01:19.364000,Finished,8.0,French Grand Prix,France,8,3.0,0,0,0,MAG_Haas F1 Team
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,7.0,7,2.0,,,,0 days 00:01:20.632000,Finished,6.0,French Grand Prix,France,8,-5.0,0,0,0,BOT_Mercedes
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,8.0,8,7.0,,,,0 days 00:01:27.184000,Finished,4.0,French Grand Prix,France,8,-1.0,0,0,0,SAI_Renault
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,9.0,9,12.0,,,,0 days 00:01:31.989000,Finished,2.0,French Grand Prix,France,8,3.0,0,0,0,HUL_Renault
