DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,RaceName,Country,Round,positions_gained,is_winner,podium,dnf,driver_team_combo
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,1.0,1,1.0,,,,0 days 01:37:16.427000,Finished,25.0,Hungarian Grand Prix,Hungary,12,0.0,1,1,0,HAM_Mercedes
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,2.0,2,4.0,,,,0 days 00:00:17.123000,Finished,18.0,Hungarian Grand Prix,Hungary,12,2.0,0,1,0,VET_Ferrari
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,3.0,3,3.0,,,,0 days 00:00:20.101000,Finished,15.0,Hungarian Grand Prix,Hungary,12,0.0,0,1,0,RAI_Ferrari
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,4.0,4,12.0,,,,0 days 00:00:46.419000,Finished,12.0,Hungarian Grand Prix,Hungary,12,8.0,0,0,0,RIC_Red Bull Racing
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,5.0,5,2.0,,,,0 days 00:00:50,Finished,10.0,Hungarian Grand Prix,Hungary,12,-3.0,0,0,0,BOT_Mercedes
10,P GASLY,GAS,gasly,Toro Rosso,469BFF,toro_rosso,Pierre,Gasly,Pierre Gasly,,,6.0,6,6.0,,,,0 days 00:01:13.273000,Finished,8.0,Hungarian Grand Prix,Hungary,12,0.0,0,0,0,GAS_Toro Rosso
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,7.0,7,9.0,,,,,+1 Lap,6.0,Hungarian Grand Prix,Hungary,12,2.0,0,0,1,MAG_Haas F1 Team
14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,8.0,8,11.0,,,,,+1 Lap,4.0,Hungarian Grand Prix,Hungary,12,3.0,0,0,1,ALO_McLaren
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,9.0,9,5.0,,,,,+1 Lap,2.0,Hungarian Grand Prix,Hungary,12,-4.0,0,0,1,SAI_Renault
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,828282,haas,Romain,Grosjean,Romain Grosjean,,,10.0,10,10.0,,,,,+1 Lap,1.0,Hungarian Grand Prix,Hungary,12,0.0,0,0,1,GRO_Haas F1 Team
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,11.0,11,8.0,,,,,+1 Lap,0.0,Hungarian Grand Prix,Hungary,12,-3.0,0,0,1,HAR_Toro Rosso
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,12.0,12,13.0,,,,,+1 Lap,0.0,Hungarian Grand Prix,Hungary,12,1.0,0,0,1,HUL_Renault
31,E OCON,OCO,ocon,Force India,F596C8,force_india,Esteban,Ocon,Esteban Ocon,,,13.0,13,18.0,,,,,+1 Lap,0.0,Hungarian Grand Prix,Hungary,12,5.0,0,0,1,OCO_Force India
11,S PEREZ,PER,perez,Force India,F596C8,force_india,Sergio,Perez,Sergio Perez,,,14.0,14,19.0,,,,,+1 Lap,0.0,Hungarian Grand Prix,Hungary,12,5.0,0,0,1,PER_Force India
9,M ERICSSON,ERI,ericsson,Sauber,9B0000,sauber,Marcus,Ericsson,Marcus Ericsson,,,15.0,15,14.0,,,,,+2 Laps,0.0,Hungarian Grand Prix,Hungary,12,-1.0,0,0,1,ERI_Sauber
35,S SIROTKIN,SIR,sirotkin,Williams,FFFFFF,williams,Sergey,Sirotkin,Sergey Sirotkin,,,16.0,16,20.0,,,,,+2 Laps,0.0,Hungarian Grand Prix,Hungary,12,4.0,0,0,1,SIR_Williams
18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,17.0,17,15.0,,,,,+2 Laps,0.0,Hungarian Grand Prix,Hungary,12,-2.0,0,0,1,STR_Williams
2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,18.0,R,16.0,,,,,Gearbox,0.0,Hungarian Grand Prix,Hungary,12,-2.0,0,0,1,VAN_McLaren
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,19.0,R,7.0,,,,,Power loss,0.0,Hungarian Grand Prix,Hungary,12,-12.0,0,0,1,VER_Red Bull Racing
16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,20.0,R,17.0,,,,,Suspension,0.0,Hungarian Grand Prix,Hungary,12,-3.0,0,0,1,LEC_Sauber
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,1.0,1,3.0,,,,0 days 01:29:33.283000,Finished,25.0,Australian Grand Prix,Australia,1,2.0,1,1,0,VET_Ferrari
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,2.0,2,1.0,,,,0 days 00:00:05.036000,Finished,18.0,Australian Grand Prix,Australia,1,-1.0,0,1,0,HAM_Mercedes
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,3.0,3,2.0,,,,0 days 00:00:06.309000,Finished,15.0,Australian Grand Prix,Australia,1,-1.0,0,1,0,RAI_Ferrari
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,4.0,4,8.0,,,,0 days 00:00:07.069000,Finished,12.0,Australian Grand Prix,Australia,1,4.0,0,0,0,RIC_Red Bull Racing
14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,5.0,5,10.0,,,,0 days 00:00:27.886000,Finished,10.0,Australian Grand Prix,Australia,1,5.0,0,0,0,ALO_McLaren
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,6.0,6,4.0,,,,0 days 00:00:28.945000,Finished,8.0,Australian Grand Prix,Australia,1,-2.0,0,0,0,VER_Red Bull Racing
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,7.0,7,7.0,,,,0 days 00:00:32.671000,Finished,6.0,Australian Grand Prix,Australia,1,0.0,0,0,0,HUL_Renault
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,8.0,8,15.0,,,,0 days 00:00:34.339000,Finished,4.0,Australian Grand Prix,Australia,1,7.0,0,0,0,BOT_Mercedes
